"","SampleID","Experiment","Farm","Year","farm_number","section","row","block","section_block","farm_block","year_farm_block","farm_section_block","year_farm_section_block","farm_section_block_treatment","year_farm_section_block_treatment","Sample_type","DNA","DNA_sample_name","DNA_seq_number","DNA_plate_number","DNA_col","DNA_row","Tissue","DNA_control","Treatment","Seed_source","Disinfection","Inoculation","plot_level","soil_moisture_at_planting","plants_at_planting","approx_plants_at_harvest","cob.weight.grams","cob_weight_g_plot_avg","max_cob_weight_plot","is_disease_score","seed_weight_g_plot","seed_weight_g_block","lb_seeds_plot","lb_seeds_block","cob_count_wk12","cob_count","cobs_per_plant","seeds_per_cob_g","Seeds_per_plant","disease","disease_plot_avg","Height","Height_avg","copies_ITS_all","copies_Fus_all","copies_Fverti_all","copies_Fum_all","perc_Fus_ITS","perc_Fvert_Fus","perc_Fum_Fus","log_copies_ITS_all","log_copies_Fus_all","log_copies_Fverti_all","log_copies_Fum_all","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher","Richness_raref","Richness_raref_sd","Inverse_Simpson_raref","Inverse_Simpson_raref_sd"
"Sample104","Sample104","1","OSU","2013","3","0","","2","0.2","3.2","2013.3.2","OSU.0.2","2013.OSU.0.2","3.0.2.4","2013.3.0.2.4","Seed","1","OSU.13.SDH.0.2.4","104","2","1","H","Seed","0","4","2","1","0","1","0.0853552895",120,40,NA,88.1076923077,167,NA,954.5,5727,2.1043140091,12.6258840544,74,65,1.625,88.1076923077,143.175,0.7442516556,0.7442516556,NA,NA,12992.8376472753,39.234288256,NA,NA,NA,NA,NA,4.1137040117,1.5936657785,NA,NA,120,180.882352941176,24.4024911376343,176.650313119064,7.3577441557687,3.65865837800448,0.944868568670132,18.1384733876525,36.4198841797937,50.33,4.17557834861885,16.5005116535422,2.37362650333254
"Sample155","Sample155","1","OSU","2014","3","2","11","2","2.2","3.2","2014.3.2","OSU.2.2","2014.OSU.2.2","3.2.2.6","2014.3.2.2.6","Seed","1","OSU.14.SDH.11.2.6","155","2","8","C","Seed","0","6","4","1","0","1","",24,22,NA,67.3125,126,1,887,NA,1.9537444934,NA,NA,16,0.7272727273,55.4375,40.3181818182,0.7794414613,0.7519820982,NA,NA,31934.1225650568,10.1999292024,3.78214212,0,0.0319405338,37.0800820766,0,4.5042685873,1.0492152774,0.6796224787,0,185,300.5,36.0799636838205,286.96917058164,9.12245449952835,3.76946380450295,0.948324616630313,19.3515738982712,50.0396880062044,51.87,3.71906092198207,17.6817607359788,2.36765060765762
"Sample137","Sample137","1","AS","2014","1","1","2","1","1.1","1.1","2014.1.1","AS.1.1","2014.AS.1.1","1.1.1.1","2014.1.1.1.1","Seed","1","AS.14.SDH.2.1.1","137","2","6","A","Seed","0","1","3","0","0","1","",20,18,NA,94.6666666667,167,1,971.56,NA,2.14,NA,NA,15,0.8333333333,64.7706666667,53.9755555556,0.6279779723,0.6161247113,143,127.5,30978.5567594253,416.7433397184,386.241312216,11.7841835486,1.3452638964,92.6808602333,2.8276837145,4.4910751998,2.6209095345,2.5879816831,1.1066729974,257,584.885714285714,78.4827058404322,616.369599255932,16.5618405551198,3.61518046480126,0.947223502956474,18.9478282193544,66.9412666053226,44.66,3.86180467573586,17.7056328305568,1.99632386107691
"Sample18","Sample18","1","PC","2014","2","1","1","1","1.1","2.1","2014.2.1","PC.1.1","2014.PC.1.1","2.1.1.3","2014.2.1.1.3","Crown","1","PC.14.CR8.1.1.3","18","1","3","B","Crown","0","3","4","0","1","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5974097601,NA,NA,NA,NA,0.5019309496,NA,NA,NA,NA,NA,NA,0.1766499667,NA,NA,726,1314.49137931034,85.454265977531,1425.48536690522,24.473783272407,5.24124447184689,0.988211700355975,84.8298762499521,219.713314529116,93.89,5.6316117146915,56.6795978609559,7.75356144901187
"Sample160","Sample160","1","OSU","2014","3","2","12","3","2.3","3.3","2014.3.3","OSU.2.3","2014.OSU.2.3","3.2.3.8","2014.3.2.3.8","Seed","1","OSU.14.SDH.12.3.8","160","2","8","H","Seed","0","8","4","1","1","1","",24,22,NA,58.6625,92.17,1,208.59,NA,0.4594493392,NA,NA,4,0.1818181818,52.1475,9.4813636364,0.6186240791,0.687629563,NA,NA,43320.9018585932,11.9104762872,0,0,0.0274936019,0,0,4.6367075142,1.1109422643,0,0,211,534.142857142857,93.0536710296019,505.9098876392,13.7702742534687,3.94548008736088,0.963739002835959,27.5778406058748,57.4481358417516,55,4.09976594552431,24.1453252459093,2.90122818121824
"Sample136","Sample136","1","OSU","2014","3","1","6","1","1.1","3.1","2014.3.1","OSU.1.1","2014.OSU.1.1","3.1.1.4","2014.3.1.1.4","Seed","1","OSU.14.SDH.6.1.4","136","2","5","H","Seed","0","4","3","1","1","1","",24,22,NA,78.2631578947,149,1,1253,NA,2.7599118943,NA,NA,19,0.8636363636,65.9473684211,56.9545454545,0.6599908329,0.6515372302,NA,NA,26645.8052212234,145.65395166,29.4325140216,0,0.5466299496,20.2071510496,0,4.4256451474,2.1662937697,1.4833378308,0,258,503.142857142857,57.6436976693797,521.424372156391,13.2700049389035,2.35455347841283,0.684762112626411,3.17220752978496,62.1310857106256,32.14,4.09735070848016,3.17458520134706,0.408467457565636
"Sample101","Sample101","1","OSU","2013","3","0","","2","0.2","3.2","2013.3.2","OSU.0.2","2013.OSU.0.2","3.0.2.1","2013.3.0.2.1","Seed","1","OSU.13.SDH.0.2.1","101","2","1","E","Seed","0","1","1","0","0","1","0.0853552895",120,40,NA,92.6101694915,166,NA,910.6666666667,5464,2.007677972,12.0460678319,70,59,1.475,92.6101694915,136.6,0.7027682119,0.7027682119,NA,NA,16559.0577650559,30.9871405802,NA,NA,NA,NA,NA,4.2190356212,1.4911815024,NA,NA,315,681.348837209302,80.2984863949586,681.387768113812,16.397543970636,3.36328669461631,0.925769271369077,13.4715099587939,67.6380212198532,38.97,3.56881838238718,12.6574218061383,1.5039683686313
"Sample167","Sample167","1","OSU","2014","3","2","13","2","2.2","3.2","2014.3.2","OSU.2.2","2014.OSU.2.2","3.2.2.3","2014.3.2.2.3","Seed","1","OSU.14.SDH.13.2.3","167","2","9","G","Seed","0","3","3","0","1","1","",24,22,NA,70,116,1,596,NA,1.3127753304,NA,NA,11,0.5,54.1818181818,27.0909090909,0.6845088937,0.6535540065,NA,NA,34181.3390710743,28.1679409848,42.0124086192,0,0.0824073654,149.1497324631,0,4.5338017778,1.4649057726,1.633593763,0,359,773.30612244898,85.21535827968,817.113707438113,19.0272173546406,2.68129208651848,0.771765682537172,4.38146204793618,77.6594196178622,34.91,3.79551835668853,4.37899522099173,0.636458821326537
"Sample112","Sample112","1","OSU","2013","3","0","","4","0.4","3.4","2013.3.4","OSU.0.4","2013.OSU.0.4","3.0.4.4","2013.3.0.4.4","Seed","1","OSU.13.SDH.0.4.4","112","2","2","H","Seed","0","4","2","1","0","1","0.0783454209",120,40,NA,95.0344827586,167,NA,918.6666666667,5512,2.0253149674,12.1518898041,66,58,1.45,95.0344827586,137.8,0.7457417219,0.7457417219,NA,NA,13387.7838545394,19.714346342,NA,NA,NA,NA,NA,4.1267086921,1.294782382,NA,NA,414,803.602739726027,70.6504501303992,1024.57088867904,23.1320684626294,2.9907102909564,0.847158996598821,6.54274689217517,88.5448893339036,38.14,3.92098730094111,6.51142020379113,1.10053200501461
"Sample108","Sample108","1","OSU","2013","3","0","","3","0.3","3.3","2013.3.3","OSU.0.3","2013.OSU.0.3","3.0.3.4","2013.3.0.3.4","Seed","1","OSU.13.SDH.0.3.4","108","2","2","D","Seed","0","4","2","1","0","1","0.0944165317",120,40,NA,92.9245283019,163,NA,820.8333333333,4925,1.8096292116,10.8577752694,59,53,1.325,92.9245283019,123.125,0.8260331126,0.8260331126,NA,NA,15115.3073036538,39.0858910226,NA,NA,NA,NA,NA,4.1794169811,1.5920200168,NA,NA,282,592.075,71.436009579358,707.785431410013,17.8250511584207,3.70967460112738,0.939110986191411,16.4233239701272,70.9735440009507,50.02,3.95933878777298,15.3276159667086,2.40980639784565
"Sample275","Sample275","2","CD","2012","0","","","","","","","","","","2012","Seed_stock","1","CRG.12.CD.A","275","3","11","C","Seed","0","","2","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,142,51.254598557002,197.848636831276,6.77179903008772,2.64655203893452,0.886572275969211,8.81618677042802,13.7012915349983,24.6,2.72659924344291,8.66153951785359,0.910493597407864
"Sample41","Sample41","1","OSU","2014","3","1","4","4","1.4","3.4","2014.3.4","OSU.1.4","2014.OSU.1.4","3.1.4.6","2014.3.1.4.6","Crown","1","OSU.14.CR8.1.4.6","41","1","6","A","Crown","0","6","4","1","0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7268296425,NA,NA,NA,NA,0.3316185299,NA,NA,NA,NA,NA,NA,0.1243798299,NA,NA,339,717.122448979592,78.8354701297566,789.232899818785,18.4268436195049,4.07795381041743,0.965916077781741,29.3393463814529,91.0256141720051,55.86,4.29004014485231,25.2000161267642,2.9419150497915
"Sample176","Sample176","1","OSU","2014","3","2","14","4","2.4","3.4","2014.3.4","OSU.2.4","2014.OSU.2.4","3.2.4.4","2014.3.2.4.4","Seed","1","OSU.14.SDH.14.4.4","176","2","10","H","Seed","0","4","3","1","1","1","",24,22,NA,77.75,133,1,785,NA,1.7290748899,NA,NA,12,0.5454545455,65.4166666667,35.6818181818,0.6159620098,0.6549887068,NA,NA,34650.0951365301,430.2084699192,669.1063198896,0,1.2415794768,155.5307174718,0,4.5397169649,2.6346872828,2.8261437139,0,256,554.285714285714,72.3817358018962,600.288160162242,15.5497826112323,3.65308561131579,0.943981561906072,17.8512652981019,64.1237030072542,46.87,3.60598548432066,16.5516236944581,2.09025082204859
"Sample110","Sample110","1","OSU","2013","3","0","","4","0.4","3.4","2013.3.4","OSU.0.4","2013.OSU.0.4","3.0.4.2","2013.3.0.4.2","Seed","1","OSU.13.SDH.0.4.2","110","2","2","F","Seed","0","2","1","1","0","1","0.0783454209",120,40,NA,91.5,157,NA,884.5,5307,1.9499902997,11.6999417979,63,58,1.45,91.5,132.675,0.724013245,0.724013245,NA,NA,17837.5773406503,20.9233131106,NA,NA,NA,NA,NA,4.2513358692,1.3206304542,NA,NA,473,920.709302325581,75.1385319436381,1040.2233756758,22.0802784129763,2.60142971791032,0.810353883057824,5.27297904182717,101.202399599842,28.11,4.0871688850535,5.19467359742066,0.597498375020682
"Sample73","Sample73","1","OSU","2013","3","0","1","1","0.1","3.1","2013.3.1","OSU.0.1","2013.OSU.0.1","3.0.1.1","2013.3.0.1.1","Crown","1","OSU.13.CR8.0.1.1","73","1","10","A","Crown","0","1","1","0","0","0","0.0853552895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7027682119,NA,NA,NA,NA,0.2389866073,NA,NA,NA,NA,NA,NA,0.0930666119,NA,NA,726,1777.8932038835,145.630146522325,1945.39392901835,29.0023385309706,3.88143352666466,0.880703595585618,8.38248231293248,227.588512126111,60.9,5.63090318750649,8.11243228225496,1.63211554953466
"Sample75","Sample75","1","OSU","2013","3","0","1","1","0.1","3.1","2013.3.1","OSU.0.1","2013.OSU.0.1","3.0.1.2","2013.3.0.1.2","Crown","1","OSU.13.CR8.0.1.2","75","1","10","C","Crown","0","2","1","1","0","0","0.0944165317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6772582781,NA,NA,NA,NA,0.3666734516,NA,NA,NA,NA,NA,NA,0.1356647581,NA,NA,438,903.666666666667,83.612954971047,956.058967851744,20.2850162562517,4.4041754773048,0.95157056054853,20.6485974507734,160.97224107886,72.26,5.32882385112922,19.1703510352618,3.31949589575575
"Sample113","Sample113","1","OSU","2013","3","0","","5","0.5","3.5","2013.3.5","OSU.0.5","2013.OSU.0.5","3.0.5.1","2013.3.0.5.1","Seed","1","OSU.13.SDH.0.5.1","113","2","3","A","Seed","0","1","1","0","0","1","0.082223072",120,40,NA,94.4912280702,178,NA,897.6666666667,5386,1.9790178545,11.8741071271,63,57,1.425,94.4912280702,134.65,0.6285562914,0.6285562914,NA,NA,13770.2496059905,21.0166939958,NA,NA,NA,NA,NA,4.1389418126,1.3225644009,NA,NA,481,862.23595505618,65.0531588409844,949.002039567135,21.2218928989901,2.94580341767961,0.794791527113262,4.87309313271844,115.017702500833,40.93,4.19295946688125,4.91510396002903,0.713149485374261
"Sample184","Sample184","1","OSU","2014","3","2","16","3","2.3","3.3","2014.3.3","OSU.2.3","2014.OSU.2.3","3.2.3.5","2014.3.2.3.5","Seed","1","OSU.14.SDH.16.3.5","184","2","11","H","Seed","0","5","4","0","0","1","",24,22,NA,72.375,130,1,501,NA,1.1035242291,NA,NA,8,0.3636363636,62.625,22.7727272727,0.6725040136,0.6664305409,NA,NA,25472.4433203612,NA,NA,NA,NA,NA,NA,4.4060876538,NA,NA,NA,514,819.675675675676,50.7677131803358,940.48440506606,20.254416123622,2.72938375710623,0.858204955158541,7.05243262286137,103.837563597082,28.33,3.37565556670856,6.91353398959876,0.772331073995278
"Sample107","Sample107","1","OSU","2013","3","0","","3","0.3","3.3","2013.3.3","OSU.0.3","2013.OSU.0.3","3.0.3.3","2013.3.0.3.3","Seed","1","OSU.13.SDH.0.3.3","107","2","2","C","Seed","0","3","2","0","0","1","0.0944165317",120,40,NA,97.5438596491,165,NA,926.6666666667,5560,2.0429519627,12.2577117762,61,57,1.425,97.5438596491,139,0.8225562914,0.8225562914,NA,NA,18248.281297513,37.2917722369,NA,NA,NA,NA,NA,4.261221967,1.5716130231,NA,NA,881,1608.59493670886,92.0749560346832,1726.99132724666,27.5169382718761,3.96899032890015,0.93592445539204,15.6065782369608,214.522960928559,55.96,4.81563111443381,14.526751437167,2.31975240968364
"Sample161","Sample161","1","AS","2014","1","3","5","3","3.3","1.3","2014.1.3","AS.3.3","2014.AS.3.3","1.3.3.3","2014.1.3.3.3","Seed","1","AS.14.SDH.5.3.3","161","2","9","A","Seed","0","3","3","0","1","1","",20,18,NA,115.875,177,1,2002.14,NA,4.41,NA,NA,24,1.3333333333,83.4225,111.23,0.5169061797,0.5119655945,140,150,23511.7165308709,12.5923837704,3.0279207912,0.268295125,0.0535579091,24.0456520895,2.1306142657,4.371302808,1.133295628,0.6050809216,0.1032203231,130,195.555555555556,22.5863412890559,245.302707930367,10.4385378662447,1.98154479510064,0.650990788580678,2.86525388809447,25.7168645108628,24.19,2.89092973755412,2.83901860915208,0.327421254770241
"Sample133","Sample133","1","AS","2014","1","1","1","2","1.2","1.2","2014.1.2","AS.1.2","2014.AS.1.2","1.1.2.4","2014.1.1.2.4","Seed","1","AS.14.SDH.1.2.4","133","2","5","E","Seed","0","4","3","1","1","1","",20,18,NA,117.3846153846,180,1,1039.66,NA,2.29,NA,NA,13,0.7222222222,79.9738461538,57.7588888889,0.7911784424,0.6550332043,154,154.5,40974.8604662316,7.2676200456,0,0,0.017736778,0,0,4.6125280822,0.9173805096,0,0,136,302.833333333333,55.43232821465,296.841108911715,11.0228513470004,3.77697853725599,0.935298949511777,15.4556995976755,55.4968019154624,58.08,4.18433828325183,14.5437489103741,2.23674071293046
"Sample114","Sample114","1","OSU","2013","3","0","","5","0.5","3.5","2013.3.5","OSU.0.5","2013.OSU.0.5","3.0.5.2","2013.3.0.5.2","Seed","1","OSU.13.SDH.0.5.2","114","2","3","B","Seed","0","2","1","1","0","1","0.082223072",120,40,NA,101.0754716981,162,NA,892.8333333333,5357,1.9683621698,11.8101730189,59,53,1.325,101.0754716981,133.925,0.6130662252,0.6130662252,NA,NA,10895.6132993645,25.9824036643,NA,NA,NA,NA,NA,4.0372516811,1.4146793257,NA,NA,248,529.25,74.4070932345864,489.843184181771,13.6212837518558,3.67423334472125,0.940279815654904,16.7447574210665,59.3485218694154,48.58,3.70688684761352,15.7667969676935,2.64035712599553
"Sample56","Sample56","1","AS","2014","1","2","3","3","2.3","1.3","2014.1.3","AS.2.3","2014.AS.2.3","1.2.3.4","2014.1.2.3.4","Crown","1","AS.14.CR8.2.3.4","56","1","7","H","Crown","0","4","3","1","1","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5873689192,NA,NA,NA,NA,6.8643083134,NA,NA,NA,NA,NA,NA,0.8956605313,NA,NA,1032,2075.80891719745,124.733495020223,2300.1798117081,31.906340698012,4.44030363481906,0.956446082195216,22.9600470038579,265.110152741424,68.55,5.18033382957687,20.7713153038241,3.2966032517619
"Sample38","Sample38","1","AS","2014","1","2","2","2","2.2","1.2","2014.1.2","AS.2.2","2014.AS.2.2","1.2.2.4","2014.1.2.2.4","Crown","1","AS.14.CR8.2.2.4","38","1","5","F","Crown","0","4","3","1","1","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4840436742,NA,NA,NA,NA,0.436314877,NA,NA,NA,NA,NA,NA,0.1572496588,NA,NA,1291,2858.5,166.725439899409,3100.56772691544,36.2409474735258,5.79916212366348,0.988715314192082,88.6156705664176,482.905119466541,108.92,5.97922328660764,58.3983177536303,9.86316807311239
"Sample4","Sample4","1","AS","2014","1","2","4","4","2.4","1.4","2014.1.4","AS.2.4","2014.AS.2.4","1.2.4.2","2014.1.2.4.2","Crown","1","AS.14.CR8.2.4.2","4","1","1","D","Crown","0","2","3","1","0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5858369759,NA,NA,NA,NA,0.3023475882,NA,NA,NA,NA,NA,NA,0.1147269101,NA,NA,546,1020.5652173913,77.1336694432407,1083.286954434,20.4665141127351,5.0193536831733,0.976878066256008,43.2489778351625,213.740544265797,89.14,5.41233159861194,35.6871932723097,6.17990041857077
"Sample95","Sample95","1","OSU","2013","3","0","3","3","0.3","3.3","2013.3.3","OSU.0.3","2013.OSU.0.3","3.0.3.4","2013.3.0.3.4","Crown","1","OSU.13.CR8.0.3.4","95","1","12","G","Crown","0","4","2","1","0","0","0.0671357035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7205099338,NA,NA,NA,NA,0.1696910368,NA,NA,NA,NA,NA,NA,0.068071162,NA,NA,1228,2210.19387755102,110.013324338779,2314.65886766979,29.7533728883481,4.94531524861892,0.972815405223358,36.7855400537079,344.06364757259,80.44,5.39232526069892,30.4932466257604,4.13192559879636
"Sample169","Sample169","1","AS","2014","1","3","6","2","3.2","1.2","2014.1.2","AS.3.2","2014.AS.3.2","1.3.2.3","2014.1.3.2.3","Seed","1","AS.14.SDH.6.2.3","169","2","10","A","Seed","0","3","3","0","1","1","",20,18,NA,98.23275,185.976,1,2215.52,NA,4.88,NA,NA,32,1.7777777778,69.235,123.0844444444,0.6381985661,0.6011951459,156,163.5,22569.4317599418,4.7074076472,0,0,0.0208574487,0,0,4.353539867,0.7564388928,0,0,230,512,69.0010266827594,616.022999676061,16.4139054062295,2.89119575918391,0.876589488640664,8.10303748834075,52.9533039749762,33.15,3.47101999388938,7.74822702891084,0.798195698240289
"Sample194","Sample194","2","AS","2013","1","","","","","","","","","","2013","Seed_stock","1","CRG.13.AS.A","194","3","1","B","Seed","0","","3","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,354.277777777778,32.797627281351,356.91060186351,10.1760741579316,3.31010346192999,0.919777227943107,12.4652885254428,48.3944326603025,39.69,3.88390878816013,11.7130014555149,1.60606706749279
"Sample193","Sample193","2","AS","2013","1","","","","","","","","","","2013","Seed_stock","1","CRG.13.AS","193","3","1","A","Seed","0","","3","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,176,28.9182335062291,191.321517595197,8.15553140180186,2.14150222014512,0.729467528470298,3.69641394375171,21.6426435129832,23.44,2.9484459183328,3.81282326189724,0.461868408999051
"Sample195","Sample195","2","AS","2013","1","","","","","","","","","","2013","Seed_stock","1","CRG.13.AS.B","195","3","1","C","Seed","0","","3","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,220,40.6986709633351,184.945899814471,7.5728172077254,3.01834255715978,0.855127539859386,6.90262316957545,33.6756068990353,42.64,3.70781320833167,6.69071998747566,0.889958874115375
"Sample197","Sample197","2","PC","2013","2","","","","","","","","","","2013","Seed_stock","1","CRG.13.PC.A","197","3","1","E","Seed","0","","4","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,355,42.7045750756797,371.960538609058,12.0731335700294,1.39715353834796,0.566942624240719,2.30916284071296,30.3285786103835,12.08,1.85145315573438,2.32403536444518,0.220811121433606
"Sample179","Sample179","1","OSU","2014","3","2","14","5","2.5","3.5","2014.3.5","OSU.2.5","2014.OSU.2.5","3.2.5.5","2014.3.2.5.5","Seed","1","OSU.14.SDH.14.5.5","179","2","11","C","Seed","0","5","4","0","0","1","",24,22,NA,85.5,151,1,1269,NA,2.795154185,NA,NA,18,0.8181818182,70.5,57.6818181818,0.811023834,0.752162795,NA,NA,39309.9113219093,342.6546838968,661.021934652,0,0.8716750366,192.9119798202,0,4.5945131119,2.5361222676,2.8208723791,0,116,198.875,31.9971544312077,203.000783899238,8.10718186750441,3.52681779906188,0.95157950010502,20.6524096646857,30.172742101806,42.24,3.39970289848684,18.7336238631953,2.14390790116525
"Sample198","Sample198","2","PC","2013","2","","","","","","","","","","2013","Seed_stock","1","CRG.13.PC.B","198","3","1","F","Seed","0","","4","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,245.666666666667,27.0816931048628,271.304807651747,9.84356449819966,1.4136985731444,0.57166060140171,2.33459729194286,24.6776853329492,11.59,2.2251773280829,2.33450596269296,0.184953966346773
"Sample151","Sample151","1","OSU","2014","3","2","10","1","2.1","3.1","2014.3.1","OSU.2.1","2014.OSU.2.1","3.2.1.2","2014.3.2.1.2","Seed","1","OSU.14.SDH.10.1.2","151","2","7","G","Seed","0","2","3","1","0","1","",24,22,NA,73.8,147,1,897,NA,1.9757709251,NA,NA,15,0.6818181818,59.8,40.7727272727,0.6250869737,0.6454006071,NA,NA,34292.5925021323,37.5321486144,0,0.0726051599,0.1094468102,0,0.1934479175,4.535212983,1.5858232266,0,0.0304398819,169,360.4,60.1290588109029,360.3567362194,11.7624993524953,3.73777381294802,0.956645155277526,23.0654729915717,45.0262008053662,48.3,3.82310889410197,20.5883805572058,2.13546458068081
"Sample106","Sample106","1","OSU","2013","3","0","","3","0.3","3.3","2013.3.3","OSU.0.3","2013.OSU.0.3","3.0.3.2","2013.3.0.3.2","Seed","1","OSU.13.SDH.0.3.2","106","2","2","B","Seed","0","2","1","1","0","1","0.0944165317",120,40,NA,101.1428571429,149,NA,1062,6372,2.3413111342,14.0478668054,65,63,1.575,101.1428571429,159.3,0.6421655629,0.6421655629,NA,NA,15470.9070080063,26.0874042001,NA,NA,NA,NA,NA,4.1895157757,1.4164308672,NA,NA,393,879.491228070175,92.7048845390951,1070.34878197383,22.609916037689,3.23345002434236,0.893535671709085,9.39281744461387,82.5252192675489,40.13,4.12103497836761,9.06347412529333,1.49180070700811
"Sample60","Sample60","1","OSU","2014","3","2","4","4","2.4","3.4","2014.3.4","OSU.2.4","2014.OSU.2.4","3.2.4.3","2014.3.2.4.3","Crown","1","OSU.14.CR8.2.4.3","60","1","8","D","Crown","0","3","3","0","1","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6166091618,NA,NA,NA,NA,0.1774734711,NA,NA,NA,NA,NA,NA,0.0709511311,NA,NA,468,1192.51923076923,135.233648261267,1283.74367024916,23.8939481881336,4.94156321894746,0.985935229028255,71.09962913786,148.99430313594,86.23,5.02489760687678,50.1998480113472,5.67358089323165
"Sample55","Sample55","1","AS","2014","1","2","3","3","2.3","1.3","2014.1.3","AS.2.3","2014.AS.2.3","1.2.3.3","2014.1.2.3.3","Crown","1","AS.14.CR8.2.3.3","55","1","7","G","Crown","0","3","3","0","1","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4618363255,NA,NA,NA,NA,0.1181306619,NA,NA,NA,NA,NA,NA,0.0484925571,NA,NA,985,1884.65605095541,110.086879710137,2006.25828837576,27.8809394440315,5.30133171823748,0.97768225955149,44.8074034334764,341.169310669183,94.57,5.01765569632559,35.6144413933983,6.29812481054519
"Sample63","Sample63","1","OSU","2014","3","1","4","4","1.4","3.4","2014.3.4","OSU.1.4","2014.OSU.1.4","3.1.4.7","2014.3.1.4.7","Crown","1","OSU.14.CR8.2.6.7","63","1","8","G","Crown","0","7","4","0","1","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6962123293,NA,NA,NA,NA,0.8914361777,NA,NA,NA,NA,NA,NA,0.2767916916,NA,NA,560,1086.78481012658,88.5954277659989,1077.55443458172,20.2006680002667,4.90378119666176,0.976229157737961,42.0683452852212,189.9368310316,84.96,5.53942709359484,34.9996853106058,5.53200568004464
"Sample61","Sample61","1","OSU","2014","3","2","3","3","2.3","3.3","2014.3.3","OSU.2.3","2014.OSU.2.3","3.2.3.5","2014.3.2.3.5","Crown","1","OSU.14.CR8.2.3.5","61","1","8","E","Crown","0","5","4","0","0","0","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6725040136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,506,1044.15384615385,96.5042813770529,991.900340635929,18.7941324647474,4.43509092441689,0.949693925705013,19.878315173952,157.157844936591,74.82,4.88737809530475,18.7390584853774,3.31294449717121
"Sample122","Sample122","1","PC","2014","2","1","1","1","1.1","2.1","2014.2.1","PC.1.1","2014.PC.1.1","2.1.1.1","2014.2.1.1.1","Seed","1","PC.14.SDH.1.1.1","122","2","4","B","Seed","0","1","4","0","0","1","",16,15,NA,76.7058823529,127,1,1027,NA,2.2621145374,NA,NA,17,1.1333333333,60.4117647059,68.4666666667,0.5905179328,0.5905179328,NA,NA,19411.1549904403,525.0487591488,308.3627893608,8.4012466338,2.7048815972,58.7303148494,1.6000888465,4.2880737501,2.7210260005,2.4904680749,0.9731854462,109,211.214285714286,39.7913777322934,237.03304310205,10.3457547530842,3.18178124404227,0.926127245792938,13.5367905357509,25.3034290416473,34.38,3.26530583900226,12.7195350020313,1.65501304536038
